,Country,year,Region,happiness_rank,happiness_score,gdp_per_capita,life_expectancy,Freedom,Generosity,government_corruption
0,Finland,2019.0,Europe,1.0,7.769,1.34,0.986,0.596,0.153,0.39299999999999996
1,Denmark,2019.0,Europe,2.0,7.6,1.383,0.996,0.5920000000000001,0.252,0.41
2,Norway,2019.0,Europe,3.0,7.553999999999999,1.4880000000000002,1.028,0.603,0.271,0.341
3,Iceland,2019.0,Europe,4.0,7.494,1.38,1.026,0.591,0.354,0.11800000000000001
4,Netherlands,2019.0,Europe,5.0,7.4879999999999995,1.396,0.9990000000000001,0.557,0.322,0.298
5,Switzerland,2019.0,Europe,6.0,7.48,1.452,1.052,0.5720000000000001,0.263,0.34299999999999997
6,Sweden,2019.0,Europe,7.0,7.343,1.3869999999999998,1.0090000000000001,0.574,0.267,0.373
7,New Zealand,2019.0,Oceania,8.0,7.307,1.3030000000000002,1.026,0.585,0.33,0.38
8,Canada,2019.0,Americas,9.0,7.278,1.365,1.0390000000000001,0.584,0.285,0.308
9,Austria,2019.0,Europe,10.0,7.246,1.376,1.016,0.532,0.244,0.226
10,Australia,2019.0,Oceania,11.0,7.228,1.3719999999999999,1.036,0.557,0.332,0.29
11,Costa Rica,2019.0,Americas,12.0,7.167000000000001,1.034,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001
12,Israel,2019.0,Asia,13.0,7.138999999999999,1.276,1.0290000000000001,0.371,0.261,0.08199999999999999
13,Luxembourg,2019.0,Europe,14.0,7.09,1.609,1.012,0.526,0.19399999999999998,0.316
14,United Kingdom,2019.0,,15.0,7.053999999999999,1.3330000000000002,0.996,0.45,0.348,0.278
15,Ireland,2019.0,Europe,16.0,7.021,1.499,0.9990000000000001,0.516,0.298,0.31
16,Germany,2019.0,Europe,17.0,6.985,1.3730000000000002,0.987,0.495,0.261,0.265
17,Belgium,2019.0,Europe,18.0,6.922999999999999,1.3559999999999999,0.986,0.473,0.16,0.21
18,United States,2019.0,,19.0,6.892,1.433,0.8740000000000001,0.45399999999999996,0.28,0.128
19,Czech Republic,2019.0,,20.0,6.852,1.2690000000000001,0.92,0.457,0.046,0.036000000000000004
20,United Arab Emirates,2019.0,Asia,21.0,6.825,1.5030000000000001,0.825,0.598,0.262,0.182
21,Malta,2019.0,Europe,22.0,6.726,1.3,0.9990000000000001,0.564,0.375,0.151
22,Mexico,2019.0,Americas,23.0,6.595,1.07,0.861,0.433,0.07400000000000001,0.073
23,France,2019.0,Europe,24.0,6.5920000000000005,1.324,1.045,0.436,0.111,0.183
24,Taiwan,2019.0,,25.0,6.446000000000001,1.368,0.914,0.35100000000000003,0.242,0.09699999999999999
25,Chile,2019.0,Americas,26.0,6.444,1.159,0.92,0.35700000000000004,0.187,0.055999999999999994
26,Guatemala,2019.0,Americas,27.0,6.436,0.8,0.746,0.535,0.175,0.078
27,Saudi Arabia,2019.0,Asia,28.0,6.375,1.403,0.795,0.439,0.08,0.132
28,Qatar,2019.0,Asia,29.0,6.374,1.6840000000000002,0.871,0.555,0.22,0.16699999999999998
29,Spain,2019.0,Europe,30.0,6.354,1.286,1.062,0.36200000000000004,0.153,0.079
30,Panama,2019.0,Americas,31.0,6.321000000000001,1.149,0.91,0.516,0.109,0.054000000000000006
31,Brazil,2019.0,Americas,32.0,6.3,1.004,0.802,0.39,0.099,0.086
32,Uruguay,2019.0,Americas,33.0,6.292999999999999,1.124,0.8909999999999999,0.523,0.127,0.15
33,Singapore,2019.0,Asia,34.0,6.2620000000000005,1.5719999999999998,1.141,0.556,0.271,0.45299999999999996
34,El Salvador,2019.0,Americas,35.0,6.252999999999999,0.794,0.789,0.43,0.09300000000000001,0.07400000000000001
35,Italy,2019.0,Europe,36.0,6.223,1.294,1.0390000000000001,0.231,0.158,0.03
36,Bahrain,2019.0,Asia,37.0,6.199,1.3619999999999999,0.871,0.536,0.255,0.11
37,Slovakia,2019.0,Europe,38.0,6.1979999999999995,1.246,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999
38,Trinidad & Tobago,2019.0,,39.0,6.192,1.2309999999999999,0.713,0.489,0.185,0.016
39,Poland,2019.0,Europe,40.0,6.182,1.206,0.884,0.483,0.11699999999999999,0.05
40,Uzbekistan,2019.0,Asia,41.0,6.1739999999999995,0.745,0.7559999999999999,0.631,0.322,0.24
41,Lithuania,2019.0,Europe,42.0,6.149,1.238,0.818,0.29100000000000004,0.043,0.042
42,Colombia,2019.0,Americas,43.0,6.125,0.985,0.841,0.47,0.099,0.034
43,Slovenia,2019.0,Europe,44.0,6.117999999999999,1.258,0.953,0.564,0.14400000000000002,0.057
44,Nicaragua,2019.0,Americas,45.0,6.105,0.6940000000000001,0.835,0.435,0.2,0.127
45,Kosovo,2019.0,,46.0,6.1,0.882,0.758,0.489,0.262,0.006
46,Argentina,2019.0,Americas,47.0,6.086,1.092,0.8809999999999999,0.47100000000000003,0.066,0.05
47,Romania,2019.0,Europe,48.0,6.07,1.162,0.825,0.462,0.083,0.005
48,Cyprus,2019.0,Asia,49.0,6.046,1.263,1.042,0.406,0.19,0.040999999999999995
49,Ecuador,2019.0,Americas,50.0,6.028,0.912,0.868,0.498,0.126,0.087
50,Kuwait,2019.0,Asia,51.0,6.021,1.5,0.8079999999999999,0.493,0.142,0.09699999999999999
51,Thailand,2019.0,Asia,52.0,6.007999999999999,1.05,0.828,0.557,0.359,0.027999999999999997
52,Latvia,2019.0,Europe,53.0,5.94,1.187,0.812,0.264,0.075,0.064
53,South Korea,2019.0,,54.0,5.895,1.301,1.036,0.159,0.175,0.055999999999999994
54,Estonia,2019.0,Europe,55.0,5.893,1.237,0.8740000000000001,0.495,0.10300000000000001,0.161
55,Jamaica,2019.0,Americas,56.0,5.89,0.831,0.831,0.49,0.107,0.027999999999999997
56,Mauritius,2019.0,Africa,57.0,5.888,1.12,0.7979999999999999,0.498,0.215,0.06
57,Japan,2019.0,Asia,58.0,5.886,1.327,1.088,0.445,0.069,0.14
58,Honduras,2019.0,Americas,59.0,5.86,0.642,0.828,0.507,0.24600000000000002,0.078
59,Kazakhstan,2019.0,Asia,60.0,5.809,1.173,0.7290000000000001,0.41,0.146,0.096
60,Bolivia,2019.0,,61.0,5.779,0.7759999999999999,0.706,0.511,0.13699999999999998,0.064
61,Hungary,2019.0,Europe,62.0,5.757999999999999,1.2009999999999998,0.828,0.19899999999999998,0.081,0.02
62,Paraguay,2019.0,Americas,63.0,5.742999999999999,0.855,0.777,0.514,0.184,0.08
63,Northern Cyprus,2019.0,,64.0,5.718,1.263,1.042,0.41700000000000004,0.191,0.162
64,Peru,2019.0,Americas,65.0,5.697,0.96,0.8540000000000001,0.455,0.083,0.027000000000000003
65,Portugal,2019.0,Europe,66.0,5.693,1.2209999999999999,0.9990000000000001,0.508,0.047,0.025
66,Pakistan,2019.0,Asia,67.0,5.653,0.677,0.535,0.313,0.22,0.098
67,Russia,2019.0,,68.0,5.648,1.183,0.726,0.33399999999999996,0.08199999999999999,0.031
68,Philippines,2019.0,Asia,69.0,5.631,0.807,0.657,0.5579999999999999,0.11699999999999999,0.107
69,Serbia,2019.0,Europe,70.0,5.603,1.004,0.8540000000000001,0.282,0.13699999999999998,0.039
70,Moldova,2019.0,,71.0,5.529,0.685,0.7390000000000001,0.245,0.18100000000000002,0.0
71,Libya,2019.0,Africa,72.0,5.525,1.044,0.6729999999999999,0.41600000000000004,0.133,0.152
72,Montenegro,2019.0,Europe,73.0,5.523,1.051,0.871,0.19699999999999998,0.142,0.08
73,Tajikistan,2019.0,Asia,74.0,5.4670000000000005,0.493,0.718,0.389,0.23,0.14400000000000002
74,Croatia,2019.0,Europe,75.0,5.432,1.155,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002
75,Hong Kong,2019.0,Asia,76.0,5.43,1.4380000000000002,1.122,0.44,0.258,0.287
76,Dominican Republic,2019.0,Americas,77.0,5.425,1.015,0.779,0.49700000000000005,0.113,0.10099999999999999
77,Bosnia and Herzegovina,2019.0,Europe,78.0,5.386,0.945,0.845,0.212,0.263,0.006
78,Turkey,2019.0,Asia,79.0,5.372999999999999,1.183,0.8079999999999999,0.195,0.083,0.106
79,Malaysia,2019.0,Asia,80.0,5.3389999999999995,1.2209999999999999,0.828,0.508,0.26,0.024
80,Belarus,2019.0,Europe,81.0,5.3229999999999995,1.067,0.789,0.235,0.094,0.142
81,Greece,2019.0,Europe,82.0,5.287000000000001,1.181,0.9990000000000001,0.067,0.0,0.034
82,Mongolia,2019.0,Asia,83.0,5.285,0.948,0.667,0.317,0.235,0.038
83,North Macedonia,2019.0,Europe,84.0,5.274,0.983,0.838,0.345,0.185,0.034
84,Nigeria,2019.0,Africa,85.0,5.265,0.696,0.245,0.426,0.215,0.040999999999999995
85,Kyrgyzstan,2019.0,Asia,86.0,5.261,0.551,0.723,0.508,0.3,0.023
86,Turkmenistan,2019.0,Asia,87.0,5.247000000000001,1.052,0.657,0.39399999999999996,0.244,0.027999999999999997
87,Algeria,2019.0,Africa,88.0,5.211,1.002,0.785,0.086,0.073,0.114
88,Morocco,2019.0,Africa,89.0,5.207999999999999,0.8009999999999999,0.782,0.418,0.036000000000000004,0.076
89,Azerbaijan,2019.0,Asia,90.0,5.207999999999999,1.043,0.769,0.35100000000000003,0.035,0.182
90,Lebanon,2019.0,Asia,91.0,5.197,0.987,0.815,0.21600000000000003,0.166,0.027000000000000003
91,Indonesia,2019.0,Asia,92.0,5.192,0.9309999999999999,0.66,0.491,0.498,0.027999999999999997
92,China,2019.0,Asia,93.0,5.191,1.0290000000000001,0.893,0.521,0.057999999999999996,0.1
93,Vietnam,2019.0,,94.0,5.175,0.741,0.851,0.5429999999999999,0.147,0.073
94,Bhutan,2019.0,Asia,95.0,5.082,0.813,0.604,0.457,0.37,0.16699999999999998
95,Cameroon,2019.0,Africa,96.0,5.044,0.5489999999999999,0.331,0.381,0.187,0.037000000000000005
96,Bulgaria,2019.0,Europe,97.0,5.011,1.092,0.815,0.311,0.081,0.004
97,Ghana,2019.0,Africa,98.0,4.996,0.611,0.486,0.381,0.245,0.04
98,Ivory Coast,2019.0,,99.0,4.944,0.569,0.23199999999999998,0.35200000000000004,0.154,0.09
99,Nepal,2019.0,Asia,100.0,4.913,0.446,0.677,0.439,0.285,0.08900000000000001
100,Jordan,2019.0,Asia,101.0,4.906000000000001,0.8370000000000001,0.815,0.38299999999999995,0.11,0.13
101,Benin,2019.0,Africa,102.0,4.883,0.39299999999999996,0.397,0.349,0.175,0.08199999999999999
102,Congo (Brazzaville),2019.0,,103.0,4.812,0.6729999999999999,0.508,0.37200000000000005,0.105,0.09300000000000001
103,Gabon,2019.0,Africa,104.0,4.7989999999999995,1.057,0.5710000000000001,0.295,0.043,0.055
104,Laos,2019.0,,105.0,4.796,0.764,0.551,0.547,0.266,0.16399999999999998
105,South Africa,2019.0,Africa,106.0,4.7219999999999995,0.96,0.469,0.389,0.13,0.055
106,Albania,2019.0,Europe,107.0,4.718999999999999,0.9470000000000001,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003
107,Venezuela,2019.0,,108.0,4.707,0.96,0.805,0.154,0.064,0.047
108,Cambodia,2019.0,Asia,109.0,4.7,0.574,0.637,0.609,0.23199999999999998,0.062
109,Palestinian Territories,2019.0,,110.0,4.696000000000001,0.657,0.672,0.225,0.10300000000000001,0.066
110,Senegal,2019.0,Africa,111.0,4.681,0.45,0.5710000000000001,0.292,0.153,0.07200000000000001
111,Somalia,2019.0,Africa,112.0,4.668,0.0,0.268,0.5589999999999999,0.243,0.27
112,Namibia,2019.0,Africa,113.0,4.638999999999999,0.879,0.47700000000000004,0.401,0.07,0.055999999999999994
113,Niger,2019.0,Africa,114.0,4.628,0.138,0.366,0.318,0.188,0.102
114,Burkina Faso,2019.0,Africa,115.0,4.587,0.331,0.38,0.255,0.177,0.113
115,Armenia,2019.0,Asia,116.0,4.559,0.85,0.815,0.28300000000000003,0.095,0.064
116,Iran,2019.0,,117.0,4.548,1.1,0.785,0.305,0.27,0.125
117,Guinea,2019.0,Africa,118.0,4.534,0.38,0.375,0.332,0.207,0.086
118,Georgia,2019.0,Asia,119.0,4.519,0.8859999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998
119,Gambia,2019.0,Africa,120.0,4.516,0.308,0.428,0.382,0.26899999999999996,0.16699999999999998
120,Kenya,2019.0,Africa,121.0,4.5089999999999995,0.512,0.581,0.431,0.37200000000000005,0.053
121,Mauritania,2019.0,Africa,122.0,4.49,0.57,0.489,0.066,0.106,0.08800000000000001
122,Mozambique,2019.0,Africa,123.0,4.466,0.204,0.39,0.494,0.19699999999999998,0.138
123,Tunisia,2019.0,Africa,124.0,4.461,0.9209999999999999,0.815,0.16699999999999998,0.059000000000000004,0.055
124,Bangladesh,2019.0,Asia,125.0,4.456,0.562,0.723,0.527,0.166,0.14300000000000002
125,Iraq,2019.0,Asia,126.0,4.437,1.043,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001
126,Congo (Kinshasa),2019.0,,127.0,4.418,0.094,0.35700000000000004,0.26899999999999996,0.212,0.053
127,Mali,2019.0,Africa,128.0,4.39,0.385,0.308,0.327,0.153,0.052000000000000005
128,Sierra Leone,2019.0,Africa,129.0,4.374,0.268,0.242,0.309,0.252,0.045
129,Sri Lanka,2019.0,Asia,130.0,4.3660000000000005,0.9490000000000001,0.831,0.47,0.244,0.047
130,Myanmar,2019.0,Asia,131.0,4.36,0.71,0.555,0.525,0.5660000000000001,0.172
131,Chad,2019.0,Africa,132.0,4.35,0.35,0.192,0.174,0.198,0.078
132,Ukraine,2019.0,Europe,133.0,4.332,0.82,0.7390000000000001,0.17800000000000002,0.187,0.01
133,Ethiopia,2019.0,Africa,134.0,4.2860000000000005,0.336,0.532,0.344,0.209,0.1
134,Swaziland,2019.0,,135.0,4.212,0.8109999999999999,0.0,0.313,0.07400000000000001,0.135
135,Uganda,2019.0,Africa,136.0,4.189,0.332,0.44299999999999995,0.35600000000000004,0.252,0.06
136,Egypt,2019.0,Africa,137.0,4.166,0.9129999999999999,0.644,0.24100000000000002,0.076,0.067
137,Zambia,2019.0,Africa,138.0,4.107,0.578,0.426,0.431,0.247,0.087
138,Togo,2019.0,Africa,139.0,4.085,0.275,0.41,0.293,0.177,0.085
139,India,2019.0,Asia,140.0,4.015,0.755,0.588,0.498,0.2,0.085
140,Liberia,2019.0,Africa,141.0,3.975,0.073,0.44299999999999995,0.37,0.233,0.033
141,Comoros,2019.0,Africa,142.0,3.9730000000000003,0.27399999999999997,0.505,0.142,0.275,0.078
142,Madagascar,2019.0,Africa,143.0,3.9330000000000003,0.27399999999999997,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995
143,Lesotho,2019.0,Africa,144.0,3.802,0.489,0.168,0.359,0.107,0.09300000000000001
144,Burundi,2019.0,Africa,145.0,3.775,0.046,0.38,0.22,0.17600000000000002,0.18
145,Zimbabwe,2019.0,Africa,146.0,3.6630000000000003,0.366,0.433,0.361,0.151,0.08900000000000001
146,Haiti,2019.0,Americas,147.0,3.597,0.32299999999999995,0.449,0.026000000000000002,0.419,0.11
147,Botswana,2019.0,Africa,148.0,3.488,1.041,0.5379999999999999,0.455,0.025,0.1
148,Syria,2019.0,,149.0,3.4619999999999997,0.619,0.44,0.013000000000000001,0.331,0.141
149,Malawi,2019.0,Africa,150.0,3.41,0.191,0.495,0.44299999999999995,0.218,0.08900000000000001
150,Yemen,2019.0,Asia,151.0,3.38,0.287,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077
151,Rwanda,2019.0,Africa,152.0,3.3339999999999996,0.359,0.614,0.555,0.217,0.41100000000000003
152,Tanzania,2019.0,,153.0,3.2310000000000003,0.47600000000000003,0.499,0.41700000000000004,0.276,0.147
153,Afghanistan,2019.0,Asia,154.0,3.2030000000000003,0.35,0.361,0.0,0.158,0.025
154,Central African Republic,2019.0,Africa,155.0,3.083,0.026000000000000002,0.105,0.225,0.235,0.035
155,South Sudan,2019.0,Africa,156.0,2.853,0.306,0.295,0.01,0.20199999999999999,0.091
156,Åland Islands,,Europe,,,,,,,
157,American Samoa,,Oceania,,,,,,,
158,Andorra,,Europe,,,,,,,
159,Angola,,Africa,,,,,,,
160,Anguilla,,Americas,,,,,,,
161,Antarctica,,,,,,,,,
162,Antigua and Barbuda,,Americas,,,,,,,
163,Aruba,,Americas,,,,,,,
164,Bahamas,,Americas,,,,,,,
165,Barbados,,Americas,,,,,,,
166,Belize,,Americas,,,,,,,
167,Bermuda,,Americas,,,,,,,
168,Bolivia (Plurinational State of),,Americas,,,,,,,
169,"Bonaire, Sint Eustatius and Saba",,Americas,,,,,,,
170,Bouvet Island,,Americas,,,,,,,
171,British Indian Ocean Territory,,Africa,,,,,,,
172,Brunei Darussalam,,Asia,,,,,,,
173,Cabo Verde,,Africa,,,,,,,
174,Cayman Islands,,Americas,,,,,,,
175,Christmas Island,,Oceania,,,,,,,
176,Cocos (Keeling) Islands,,Oceania,,,,,,,
177,Congo,,Africa,,,,,,,
178,"Congo, Democratic Republic of the",,Africa,,,,,,,
179,Cook Islands,,Oceania,,,,,,,
180,Côte d'Ivoire,,Africa,,,,,,,
181,Cuba,,Americas,,,,,,,
182,Curaçao,,Americas,,,,,,,
183,Czechia,,Europe,,,,,,,
184,Djibouti,,Africa,,,,,,,
185,Dominica,,Americas,,,,,,,
186,Equatorial Guinea,,Africa,,,,,,,
187,Eritrea,,Africa,,,,,,,
188,Eswatini,,Africa,,,,,,,
189,Falkland Islands (Malvinas),,Americas,,,,,,,
190,Faroe Islands,,Europe,,,,,,,
191,Fiji,,Oceania,,,,,,,
192,French Guiana,,Americas,,,,,,,
193,French Polynesia,,Oceania,,,,,,,
194,French Southern Territories,,Africa,,,,,,,
195,Gibraltar,,Europe,,,,,,,
196,Greenland,,Americas,,,,,,,
